Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /actuator/health,69,0,74,76.44311159421467,68.9395000008517,122.57970000064233,369.0,1.1810931444900974,0.0,74,75,76,77,80,97,120,120,120,120,120
GET,GET /api/categories,254,0,74,76.1506830707602,68.20370000059484,193.7151999991329,701.0,4.347792155079489,0.0,74,75,75,76,79,92,120,150,190,190,190
GET,GET /api/categories/{categoryId},218,0,73,77.3425238533266,68.30669999908423,199.36230000166688,135.0,3.7315696449107425,0.0,73,74,75,76,79,110,140,200,200,200,200
GET,GET /api/categories/{categoryId} 404 esperado,75,0,73,75.46801733333268,68.65710000056424,151.70779999971273,119.0,1.2837968961848885,0.0,73,75,76,77,80,85,89,150,150,150,150
GET,GET /api/categories/{categoryId}/products,218,0,75,79.33921146802251,69.37130000005709,267.4135999986902,574.0,3.7315696449107425,0.0,75,76,76,77,81,110,160,190,270,270,270
GET,GET /api/items/{itemId},200,0,74,78.67600449995734,69.27379999979166,288.1836000015028,364.0,3.423458389826369,0.0,74,75,76,77,82,98,140,270,290,290,290
GET,GET /api/products/search,207,0,74,76.5039724637577,68.48679999893648,256.13370000064606,289.0,3.543279433470292,0.0,74,75,76,77,81,90,110,130,260,260,260
GET,GET /api/products/{productId},221,0,73,76.27707149328272,68.26379999984056,153.01499999986845,145.0,3.782921520758138,0.0,73,75,75,76,79,91,130,140,150,150,150
GET,GET /api/products/{productId}/items,200,0,75,79.13952649994826,70.22789999973611,176.02940000142553,723.0,3.423458389826369,0.0,75,76,78,79,86,100,160,160,180,180,180
,Aggregated,1662,0,74,77.43094410350325,68.20370000059484,288.1836000015028,406.90132370637787,28.448939219457127,0.0,74,75,76,77,81,95,130,150,270,290,290
